Cafe Name,Location,Open,Close,Coffee,Wifi,Power
Lighthaus,https://goo.gl/maps/2EvhB4oq4gyUXKXx9,11AM, 3:30PM,☕☕☕☕️,💪💪,🔌🔌🔌
Esters,https://goo.gl/maps/13Tjc36HuPWLELaSA,8AM,3PM,☕☕☕☕,💪💪💪,🔌
Ginger & White,https://goo.gl/maps/DqMx2g5LiAqv3pJQ9,7:30AM,5:30PM,☕☕☕,✘,🔌
Mare Street Market,https://goo.gl/maps/ALR8iBiNN6tVfuAA8,8AM,1PM,☕☕,💪💪💪,🔌🔌🔌
McDonald Kulai,https://www.mcdonalds.com.my/,7am,2am,⭐️⭐️⭐️⭐️⭐️,⭐️⭐️⭐️,⭐️⭐️⭐️⭐️⭐️

Chow Chow Stir Fry,https://www.instagram.com/chow2stirfry/?hl=en,11am,10pm,*****,***,***
The Bristolian ,www.bristolian.com,10am,7pm,**,***,**
The Crafty Egg,https://www.thecraftyegg.co.uk/,8am,4pm,**,****,**
Salt and Malt,https://saltandmalt.co.uk/,12pm,9pm,***,*****,**
